course_id,course_title,domain,level,difficulty_score,difficulty_tag,estimated_duration_hours,xp_reward,recommended_for_mastery,primary_skill,skills_covered,subtopics,tools_used,prerequisites,course_description,learning_outcomes,rating,url,score_min,score_max,
C00001,Intermediate Beginner,GenAi,Beginner,1,Beginner,7.1,200,Yes,Python,"Data Analysis, Model Training, Feature Engineering, AI Deployment","Core Concepts, Basic Implementation, Hands-on Exercises, Mini Project","Python, NumPy, Pandas, TensorFlow, PyTorch, Jupyter Notebook",Basic computer knowledge and foundational concepts,This beginner level course in GenAi focuses on practical implementation and industry-aligned practices. Learners will build real-world solutions aligned with Python and apply best practices used in modern software environments.,Implement core concepts of Python; Design scalable solutions; Build production-ready applications; Optimize performance using industry tools.,4.2,https://www.coursera.org/learn/python,1,5,
C00002,Intermediate Beginner,GenAi,Beginner,1,Beginner,15.6,200,Yes,Deep Learning,"Data Analysis, Model Training, Feature Engineering, AI Deployment","Core Concepts, Basic Implementation, Hands-on Exercises, Mini Project","Python, NumPy, Pandas, TensorFlow, PyTorch, Jupyter Notebook",Basic computer knowledge and foundational concepts,This beginner level course in GenAi focuses on practical implementation and industry-aligned practices. Learners will build real-world solutions aligned with Deep Learning and apply best practices used in modern software environments.,Implement core concepts of Deep Learning; Design scalable solutions; Build production-ready applications; Optimize performance using industry tools.,4.2,https://www.coursera.org/specializations/deep-learning,1,5,
C00003,Intermediate Beginner,GenAi,Beginner,1,Beginner,39.4,100,No,Machine Learning,"Data Analysis, Model Training, Feature Engineering, AI Deployment","Core Concepts, Basic Implementation, Hands-on Exercises, Mini Project","Python, NumPy, Pandas, TensorFlow, PyTorch, Jupyter Notebook",Basic computer knowledge and foundational concepts,This beginner level course in GenAi focuses on practical implementation and industry-aligned practices. Learners will build real-world solutions aligned with Machine Learning and apply best practices used in modern software environments.,Implement core concepts of Machine Learning; Design scalable solutions; Build production-ready applications; Optimize performance using industry tools.,4.2,https://www.coursera.org/specializations/machine-learning-introduction,1,5,
C00004,Intermediate Intermediate,GenAi,Intermediate,3,Intermediate,43.3,600,No,Python,"Data Analysis, Model Training, Feature Engineering, AI Deployment","Advanced Features, Performance Optimization, Real-world Scenarios, Case Studies","Python, NumPy, Pandas, TensorFlow, PyTorch, Jupyter Notebook",Prior hands-on experience and strong foundational understanding,This intermediate level course in GenAi focuses on practical implementation and industry-aligned practices. Learners will build real-world solutions aligned with Python and apply best practices used in modern software environments.,Implement core concepts of Python; Design scalable solutions; Build production-ready applications; Optimize performance using industry tools.,4.5,https://www.coursera.org/learn/python,3,8,
C00005,Intermediate Advanced,GenAi,Advanced,5,Advanced,45,1000,Yes,Deep Learning,"Data Analysis, Model Training, Feature Engineering, AI Deployment","Architecture Design, Scalability Patterns, Production Deployment, Optimization Strategies","Python, NumPy, Pandas, TensorFlow, PyTorch, Jupyter Notebook",Strong applied experience and deep conceptual understanding,This advanced level course in GenAi focuses on practical implementation and industry-aligned practices. Learners will build real-world solutions aligned with Deep Learning and apply best practices used in modern software environments.,Implement core concepts of Deep Learning; Design scalable solutions; Build production-ready applications; Optimize performance using industry tools.,4.7,https://www.coursera.org/specializations/deep-learning,5,10,
C00006,Intermediate Beginner,GenAi,Beginner,1,Beginner,22.7,200,No,Python,"Data Analysis, Model Training, Feature Engineering, AI Deployment","Core Concepts, Basic Implementation, Hands-on Exercises, Mini Project","Python, NumPy, Pandas, TensorFlow, PyTorch, Jupyter Notebook",Basic computer knowledge and foundational concepts,This beginner level course in GenAi focuses on practical implementation and industry-aligned practices. Learners will build real-world solutions aligned with Python and apply best practices used in modern software environments.,Implement core concepts of Python; Design scalable solutions; Build production-ready applications; Optimize performance using industry tools.,4.2,https://www.coursera.org/learn/python,1,5,
C00007,Intermediate Beginner,GenAi,Beginner,1,Beginner,29.5,300,Yes,Machine Learning,"Data Analysis, Model Training, Feature Engineering, AI Deployment","Core Concepts, Basic Implementation, Hands-on Exercises, Mini Project","Python, NumPy, Pandas, TensorFlow, PyTorch, Jupyter Notebook",Basic computer knowledge and foundational concepts,This beginner level course in GenAi focuses on practical implementation and industry-aligned practices. Learners will build real-world solutions aligned with Machine Learning and apply best practices used in modern software environments.,Implement core concepts of Machine Learning; Design scalable solutions; Build production-ready applications; Optimize performance using industry tools.,4.2,https://www.coursera.org/specializations/machine-learning-introduction,1,5,
C00008,Intermediate Beginner,GenAi,Beginner,1,Beginner,16.1,100,No,Machine Learning,"Data Analysis, Model Training, Feature Engineering, AI Deployment","Core Concepts, Basic Implementation, Hands-on Exercises, Mini Project","Python, NumPy, Pandas, TensorFlow, PyTorch, Jupyter Notebook",Basic computer knowledge and foundational concepts,This beginner level course in GenAi focuses on practical implementation and industry-aligned practices. Learners will build real-world solutions aligned with Machine Learning and apply best practices used in modern software environments.,Implement core concepts of Machine Learning; Design scalable solutions; Build production-ready applications; Optimize performance using industry tools.,4.2,https://www.coursera.org/specializations/machine-learning-introduction,1,5,
C00009,Intermediate Advanced,GenAi,Advanced,5,Advanced,12.3,800,Yes,Deep Learning,"Data Analysis, Model Training, Feature Engineering, AI Deployment","Architecture Design, Scalability Patterns, Production Deployment, Optimization Strategies","Python, NumPy, Pandas, TensorFlow, PyTorch, Jupyter Notebook",Strong applied experience and deep conceptual understanding,This advanced level course in GenAi focuses on practical implementation and industry-aligned practices. Learners will build real-world solutions aligned with Deep Learning and apply best practices used in modern software environments.,Implement core concepts of Deep Learning; Design scalable solutions; Build production-ready applications; Optimize performance using industry tools.,4.7,https://www.coursera.org/specializations/deep-learning,5,10,
C00010,Intermediate Beginner,GenAi,Beginner,1,Beginner,28.4,300,Yes,Python,"Data Analysis, Model Training, Feature Engineering, AI Deployment","Core Concepts, Basic Implementation, Hands-on Exercises, Mini Project","Python, NumPy, Pandas, TensorFlow, PyTorch, Jupyter Notebook",Basic computer knowledge and foundational concepts,This beginner level course in GenAi focuses on practical implementation and industry-aligned practices. Learners will build real-world solutions aligned with Python and apply best practices used in modern software environments.,Implement core concepts of Python; Design scalable solutions; Build production-ready applications; Optimize performance using industry tools.,4.2,https://www.coursera.org/learn/python,1,5,
C00011,Intermediate Advanced,GenAi,Advanced,5,Advanced,49.8,1000,No,Deep Learning,"Data Analysis, Model Training, Feature Engineering, AI Deployment","Architecture Design, Scalability Patterns, Production Deployment, Optimization Strategies","Python, NumPy, Pandas, TensorFlow, PyTorch, Jupyter Notebook",Strong applied experience and deep conceptual understanding,This advanced level course in GenAi focuses on practical implementation and industry-aligned practices. Learners will build real-world solutions aligned with Deep Learning and apply best practices used in modern software environments.,Implement core concepts of Deep Learning; Design scalable solutions; Build production-ready applications; Optimize performance using industry tools.,4.7,https://www.coursera.org/specializations/deep-learning,5,10,
C00012,Intermediate Intermediate,GenAi,Intermediate,3,Intermediate,10.9,600,Yes,Machine Learning,"Data Analysis, Model Training, Feature Engineering, AI Deployment","Advanced Features, Performance Optimization, Real-world Scenarios, Case Studies","Python, NumPy, Pandas, TensorFlow, PyTorch, Jupyter Notebook",Prior hands-on experience and strong foundational understanding,This intermediate level course in GenAi focuses on practical implementation and industry-aligned practices. Learners will build real-world solutions aligned with Machine Learning and apply best practices used in modern software environments.,Implement core concepts of Machine Learning; Design scalable solutions; Build production-ready applications; Optimize performance using industry tools.,4.5,https://www.coursera.org/specializations/machine-learning-introduction,3,8,
C00013,Intermediate Beginner,GenAi,Beginner,1,Beginner,44.3,200,Yes,Python,"Data Analysis, Model Training, Feature Engineering, AI Deployment","Core Concepts, Basic Implementation, Hands-on Exercises, Mini Project","Python, NumPy, Pandas, TensorFlow, PyTorch, Jupyter Notebook",Basic computer knowledge and foundational concepts,This beginner level course in GenAi focuses on practical implementation and industry-aligned practices. Learners will build real-world solutions aligned with Python and apply best practices used in modern software environments.,Implement core concepts of Python; Design scalable solutions; Build production-ready applications; Optimize performance using industry tools.,4.2,https://www.coursera.org/learn/python,1,5,
